Category,Listed brand,Listed sub-product / offering,Impact on source page,Country shown,Alternative 1 company,Alternative 1 product/service,Alternative 1 source,Alternative 2 company,Alternative 2 product/service,Alternative 2 source,Alternative 3 company,Alternative 3 product/service,Alternative 3 source,Notes
Technology and Computers,Intel,Processors and chips,Very High,United States,AMD,Ryzen / EPYC processors,https://www.amd.com/,Arm,CPU architecture,https://www.arm.com/,MediaTek,System-on-chip platforms,https://www.mediatek.com/,Comparable product/service; verify local availability and ownership.
Technology and Computers,Micron,Memory and storage chips,Medium,United States,SK hynix,Memory and storage,https://www.skhynix.com/,Kioxia,Flash memory and SSDs,https://www.kioxia-holdings.com/,Nanya Technology,DRAM and flash memory,https://www.nanya.com/,Comparable product/service; verify local availability and ownership.
Technology and Computers,Microsoft,Desktop operating systems (source page: Linux or MacOS),Medium,United States,Ubuntu,Ubuntu Linux,https://ubuntu.com/,Fedora,Fedora Linux,https://fedoraproject.org/,Debian,Debian Linux,https://www.debian.org/,Comparable product/service; verify local availability and ownership.
Technology and Computers,NVIDIA,AI accelerators and deep-learning hardware,Medium,United States,AMD,Instinct accelerators,https://www.amd.com/,Imagination Technologies,GPU/IP solutions,https://www.imaginationtech.com/,Cerebras Systems,AI accelerator systems,https://www.cerebras.ai/,Comparable product/service; verify local availability and ownership.
Technology and Computers,Oracle,Cloud and enterprise software,Low,United States,SAP,Business software and cloud,https://www.sap.com/,OVHcloud,Cloud infrastructure,https://www.ovhcloud.com/,DigitalOcean,Cloud infrastructure,https://www.digitalocean.com/,Comparable product/service; verify local availability and ownership.
Technology and Computers,Qualcomm,Wireless communication chips,Low,United States,MediaTek,Mobile SoCs,https://www.mediatek.com/,Broadcom,Connectivity chips,https://www.broadcom.com/,NXP Semiconductors,Connectivity and automotive chips,https://www.nxp.com/,Comparable product/service; verify local availability and ownership.
Technology and Computers,Siemens,Rail and traffic-control systems,High,Germany,Alstom,Rail systems,https://www.alstom.com/,Stadler Rail,Rail vehicles and systems,https://www.stadlerrail.com/,Hitachi Rail,Rail systems,https://www.hitachirail.com/,Comparable product/service; verify local availability and ownership.
Food and Beverages,Achva,"Tahini, halva and similar foods",Medium,Israel (Global),Al Wadi Al Akhdar,Tahini and halva,https://www.alwadi.com/,Ziyad,Tahini and Middle Eastern foods,https://ziyad.com/,Sadaf,Tahini and Middle Eastern foods,https://www.sadaf.com/,Comparable product/service; verify local availability and ownership.
Food and Beverages,Carrefour,Supermarket and grocery retail,High,France,Aldi,Grocery retail,https://www.aldi.com/,Lidl,Grocery retail,https://www.lidl.com/,E.Leclerc,Grocery retail,https://www.e.leclerc/,Comparable product/service; verify local availability and ownership.
Food and Beverages,The Central Bottling Company (Coca-Cola),Coca-Cola,High,Israel (Local),RC Cola,Cola,https://rccolainternational.com/,Dr Pepper,Cola,https://www.drpepper.com/,Fever-Tree,Sparkling mixers and soft drinks,https://fever-tree.com/,Comparable product/service; verify local availability and ownership.
Food and Beverages,The Central Bottling Company (Coca-Cola),Sprite,High,Israel (Local),Schweppes,Lemon-lime drinks,https://www.schweppes.com/,Fever-Tree,Lemon-lime mixers,https://fever-tree.com/,Orangina,Citrus soft drink,https://www.orangina.eu/,Comparable product/service; verify local availability and ownership.
Food and Beverages,The Central Bottling Company (Coca-Cola),Fanta,High,Israel (Local),Orangina,Orange drink,https://www.orangina.eu/,Sunkist,Orange soda,https://www.sunkist.com/,Cawston Press,Fruit drinks,https://cawstonpress.com/,Comparable product/service; verify local availability and ownership.
Food and Beverages,The Central Bottling Company (Coca-Cola),Powerade,High,Israel (Local),Lucozade,Sports drinks,https://www.lucozade.com/,Pocari Sweat,Electrolyte drink,https://pocarisweat.com/,Electrolit,Electrolyte drink,https://electrolit.com/,Comparable product/service; verify local availability and ownership.
Food and Beverages,The Central Bottling Company (Coca-Cola),Minute Maid,High,Israel (Local),Innocent Drinks,Juices and smoothies,https://www.innocentdrinks.co.uk/,Ceres Juice,Fruit juice,https://www.ceres.co.za/,Rauch,Fruit juice,https://www.rauch.cc/,Comparable product/service; verify local availability and ownership.
Food and Beverages,The Central Bottling Company (Coca-Cola),Dasani,High,Israel (Local),Evian,Bottled water,https://www.evian.com/,Fiji Water,Bottled water,https://www.fijiwater.com/,Volvic,Bottled water,https://www.volvic.com/,Comparable product/service; verify local availability and ownership.
Food and Beverages,The Central Bottling Company (Coca-Cola),FUZE tea,High,Israel (Local),Arizona Beverages,Iced tea,https://drinkarizona.com/,ITO EN,Tea beverages,https://www.itoen.com/,Teekanne,Tea beverages,https://www.teekanne.com/,Comparable product/service; verify local availability and ownership.
Food and Beverages,Elite,"Chocolate, confectionery and coffee",Medium,Israel (Local),Ferrero,Chocolate and confectionery,https://www.ferrero.com/,Mondelēz International,Chocolate and snacks,https://www.mondelezinternational.com/,Tony's Chocolonely,Chocolate,https://tonyschocolonely.com/,Comparable product/service; verify local availability and ownership.
Food and Beverages,McDonalds,Fast-food restaurants,Low,United States,Burger King,Fast-food restaurants,https://www.bk.com/,Wendy's,Fast-food restaurants,https://www.wendys.com/,Subway,Sandwich restaurants,https://www.subway.com/,Comparable product/service; verify local availability and ownership.
Food and Beverages,Nestlé,Perrier,High,Switzerland,Evian,Bottled water,https://www.evian.com/,Fiji Water,Bottled water,https://www.fijiwater.com/,Volvic,Bottled water,https://www.volvic.com/,Comparable product/service; verify local availability and ownership.
Food and Beverages,Nestlé,Nescafé,High,Switzerland,Lavazza,Coffee,https://www.lavazza.com/,illycaffè,Coffee,https://www.illy.com/,Peet's Coffee,Coffee,https://www.peets.com/,Comparable product/service; verify local availability and ownership.
Food and Beverages,Nestlé,Nespresso,High,Switzerland,Lavazza,Coffee capsules and coffee,https://www.lavazza.com/,illycaffè,Coffee capsules and coffee,https://www.illy.com/,Peet's Coffee,Coffee,https://www.peets.com/,Comparable product/service; verify local availability and ownership.
Food and Beverages,Nestlé,NIDO,High,Switzerland,Danone,Infant and family nutrition,https://www.danone.com/,Reckitt / Enfamil,Infant formula,https://www.enfamil.com/,Kendamil,Infant formula,https://kendamil.com/,Comparable product/service; verify local availability and ownership.
Food and Beverages,Nestlé,Gerber,High,Switzerland,HiPP,Baby food,https://www.hipp.com/,Ella's Kitchen,Baby food,https://www.ellaskitchen.co.uk/,Organix,Baby food,https://www.organixfood.com/,Comparable product/service; verify local availability and ownership.
Food and Beverages,Nestlé,Cerelac,High,Switzerland,HiPP,Baby cereals and food,https://www.hipp.com/,Earth's Best,Baby cereals and food,https://www.earthsbest.com/,Ella's Kitchen,Baby food,https://www.ellaskitchen.co.uk/,Comparable product/service; verify local availability and ownership.
Food and Beverages,Nestlé,Kit Kat,High,Switzerland,Ferrero,Chocolate confectionery,https://www.ferrero.com/,Mondelēz International,Chocolate confectionery,https://www.mondelezinternational.com/,Tony's Chocolonely,Chocolate confectionery,https://tonyschocolonely.com/,Comparable product/service; verify local availability and ownership.
Food and Beverages,Nestlé,Crunch,High,Switzerland,Ferrero,Chocolate confectionery,https://www.ferrero.com/,Mondelēz International,Chocolate confectionery,https://www.mondelezinternational.com/,Tony's Chocolonely,Chocolate confectionery,https://tonyschocolonely.com/,Comparable product/service; verify local availability and ownership.
Food and Beverages,Nestlé,Smarties,High,Switzerland,Ferrero,Chocolate confectionery,https://www.ferrero.com/,Mondelēz International,Chocolate confectionery,https://www.mondelezinternational.com/,Tony's Chocolonely,Chocolate confectionery,https://tonyschocolonely.com/,Comparable product/service; verify local availability and ownership.
Food and Beverages,Nestlé,Häagen-Dazs,High,Switzerland,Tillamook,Ice cream,https://www.tillamook.com/,Jeni's Splendid Ice Creams,Ice cream,https://jenis.com/,Blue Bell,Ice cream,https://www.bluebell.com/,Comparable product/service; verify local availability and ownership.
Food and Beverages,Nestlé,Purina,High,Switzerland,Mars Petcare,Pet food,https://www.mars.com/made-by-mars/petcare,Hill's Pet Nutrition,Pet food,https://www.hillspet.com/,Blue Buffalo,Pet food,https://bluebuffalo.com/,Comparable product/service; verify local availability and ownership.
Food and Beverages,Nestlé,Boost,High,Switzerland,Abbott Ensure,Nutrition shakes,https://www.ensure.com/,Huel,Meal replacement and nutrition,https://huel.com/,Danone,Nutrition products,https://www.danone.com/,Comparable product/service; verify local availability and ownership.
Food and Beverages,Nestlé,Stouffer's,High,Switzerland,Amy's Kitchen,Frozen meals,https://www.amys.com/,Healthy Choice,Frozen meals,https://www.healthychoice.com/,Birds Eye,Frozen meals,https://www.birdseye.com/,Comparable product/service; verify local availability and ownership.
Food and Beverages,Nestlé,Lean Cuisine,High,Switzerland,Amy's Kitchen,Frozen meals,https://www.amys.com/,Healthy Choice,Frozen meals,https://www.healthychoice.com/,Birds Eye,Frozen meals,https://www.birdseye.com/,Comparable product/service; verify local availability and ownership.
Food and Beverages,Nestlé,Milo,High,Switzerland,Ovaltine,Malted drink,https://www.ovaltine.co.uk/,Horlicks,Malted drink,https://www.horlicks.co.uk/,Bournvita,Malted drink,https://www.bournvita.co.in/,Comparable product/service; verify local availability and ownership.
Food and Beverages,Nestlé,Nestea,High,Switzerland,Arizona Beverages,Iced tea,https://drinkarizona.com/,ITO EN,Tea beverages,https://www.itoen.com/,Teekanne,Tea beverages,https://www.teekanne.com/,Comparable product/service; verify local availability and ownership.
Food and Beverages,Nestlé,PowerBar,High,Switzerland,Clif Bar,Energy bars,https://www.clifbar.com/,RXBAR,Protein bars,https://www.rxbar.com/,GU Energy,Energy gels and nutrition,https://guenergy.com/,Comparable product/service; verify local availability and ownership.
Food and Beverages,Osem,Packaged foods,Medium,Israel (Local),Barilla,Pasta and packaged foods,https://www.barilla.com/,Heinz,Packaged foods and sauces,https://www.heinz.com/,Bonduelle,Vegetable and packaged foods,https://www.bonduelle.com/,Comparable product/service; verify local availability and ownership.
Food and Beverages,Pepsi,Pepsi,Medium,United States,RC Cola,Cola,https://rccolainternational.com/,Dr Pepper,Cola,https://www.drpepper.com/,Fever-Tree,Sparkling mixers and soft drinks,https://fever-tree.com/,Comparable product/service; verify local availability and ownership.
Food and Beverages,Pepsi,Mountain Dew,Medium,United States,Mello Yello,Citrus soda,https://www.coca-cola.com/us/en/brands/mello-yello,Irn-Bru,Soft drink,https://irn-bru.co.uk/,Lucozade,Soft drink,https://www.lucozade.com/,Comparable product/service; verify local availability and ownership.
Food and Beverages,Pepsi,7 Up,Medium,United States,Schweppes,Lemon-lime drink,https://www.schweppes.com/,Fever-Tree,Lemon-lime mixers,https://fever-tree.com/,Orangina,Citrus soft drink,https://www.orangina.eu/,Comparable product/service; verify local availability and ownership.
Food and Beverages,Pepsi,Mirinda,Medium,United States,Orangina,Orange drink,https://www.orangina.eu/,Sunkist,Orange soda,https://www.sunkist.com/,Cawston Press,Fruit drinks,https://cawstonpress.com/,Comparable product/service; verify local availability and ownership.
Food and Beverages,Pepsi,Gatorade,Medium,United States,Lucozade,Sports drinks,https://www.lucozade.com/,Pocari Sweat,Electrolyte drink,https://pocarisweat.com/,Electrolit,Electrolyte drink,https://electrolit.com/,Comparable product/service; verify local availability and ownership.
Food and Beverages,Pepsi,Tropicana,Medium,United States,Innocent Drinks,Juices and smoothies,https://www.innocentdrinks.co.uk/,Ceres Juice,Fruit juice,https://www.ceres.co.za/,Rauch,Fruit juice,https://www.rauch.cc/,Comparable product/service; verify local availability and ownership.
Food and Beverages,Pepsi,Lipton Iced Teas,Medium,United States,Arizona Beverages,Iced tea,https://drinkarizona.com/,ITO EN,Tea beverages,https://www.itoen.com/,Teekanne,Tea beverages,https://www.teekanne.com/,Comparable product/service; verify local availability and ownership.
Food and Beverages,Pepsi,Rockstar Energy,Medium,United States,Monster Energy,Energy drinks,https://www.monsterenergy.com/,Red Bull,Energy drinks,https://www.redbull.com/,Celsius,Energy drinks,https://www.celsius.com/,Comparable product/service; verify local availability and ownership.
Food and Beverages,Prigat,Juice products,Medium,Israel (Global),Ceres Juice,Fruit juice,https://www.ceres.co.za/,Rauch,Fruit juice,https://www.rauch.cc/,Innocent Drinks,Juices and smoothies,https://www.innocentdrinks.co.uk/,Comparable product/service; verify local availability and ownership.
Food and Beverages,Sabra,Hummus and dips,High,Israel (Global),Cedar's,Hummus and dips,https://www.cedarsfoods.com/,Hope Foods,Hummus and dips,https://hopefoods.com/,Lilly's,Hummus and dips,https://www.lillysfoods.com/,Comparable product/service; verify local availability and ownership.
Food and Beverages,SodaStream,Home carbonation appliances,High,Israel (Global),Aarke,Carbonators,https://aarke.com/,Drinkmate,Carbonation systems,https://idrinkproducts.com/,Mysoda,Carbonators,https://mysoda.eu/,Comparable product/service; verify local availability and ownership.
Food and Beverages,Starbucks,Coffee shops and packaged coffee,Medium,United States,Lavazza,Coffee,https://www.lavazza.com/,illycaffè,Coffee,https://www.illy.com/,Caffè Nero,Coffee shops,https://www.caffenero.com/,Comparable product/service; verify local availability and ownership.
Food and Beverages,Strauss Group,Dairy products and snacks,High,Israel (Global),Arla,Dairy products,https://www.arla.com/,Lactalis,Dairy products,https://www.lactalis.com/,Fonterra,Dairy products,https://www.fonterra.com/,Comparable product/service; verify local availability and ownership.
Food and Beverages,Tara,Dairy products,Medium,Israel (Local),Arla,Dairy products,https://www.arla.com/,Lactalis,Dairy products,https://www.lactalis.com/,Fonterra,Dairy products,https://www.fonterra.com/,Comparable product/service; verify local availability and ownership.
Food and Beverages,Tempo Beverages,Alcoholic and non-alcoholic beverages,Medium,Israel (Local),Heineken,Beer and beverages,https://www.theheinekencompany.com/,Carlsberg,Beer and beverages,https://www.carlsberg.com/,Molson Coors,Beer and beverages,https://www.molsoncoors.com/,Comparable product/service; verify local availability and ownership.
Food and Beverages,Tnuva,Dairy products,High,Israel (Global),Arla,Dairy products,https://www.arla.com/,Lactalis,Dairy products,https://www.lactalis.com/,Fonterra,Dairy products,https://www.fonterra.com/,Comparable product/service; verify local availability and ownership.
Food and Beverages,Tnuva,Meat products,High,Israel (Global),Tyson Foods,Meat products,https://www.tysonfoods.com/,JBS,Meat products,https://jbs.com.br/,Smithfield Foods,Meat products,https://www.smithfieldfoods.com/,Comparable product/service; verify local availability and ownership.
Food and Beverages,Tnuva,Eggs,High,Israel (Global),Vital Farms,Eggs,https://vitalfarms.com/,Happy Egg Co,Eggs,https://happyegg.co/,Nellie's Free Range Eggs,Eggs,https://nelliesfreerange.com/,Comparable product/service; verify local availability and ownership.
Food and Beverages,Tnuva,Packaged foods,High,Israel (Global),Barilla,Packaged foods,https://www.barilla.com/,Heinz,Packaged foods and sauces,https://www.heinz.com/,Bonduelle,Packaged vegetables and foods,https://www.bonduelle.com/,Comparable product/service; verify local availability and ownership.
Clothing,Puma,Sportswear and footwear,Very High,Germany,adidas,Sportswear and footwear,https://www.adidas.com/,New Balance,Sportswear and footwear,https://www.newbalance.com/,ASICS,Sportswear and footwear,https://www.asics.com/,Comparable product/service; verify local availability and ownership.
Clothing,ZARA,Apparel and fashion,High,Spain,H&M,Apparel,https://www2.hm.com/,Mango,Apparel,https://shop.mango.com/,Uniqlo,Apparel,https://www.uniqlo.com/,Comparable product/service; verify local availability and ownership.
Clothing,Pull&Bear,Apparel and fashion,High,Spain,H&M,Apparel,https://www2.hm.com/,Mango,Apparel,https://shop.mango.com/,Uniqlo,Apparel,https://www.uniqlo.com/,Comparable product/service; verify local availability and ownership.
Clothing,Bershka,Apparel and fashion,High,Spain,H&M,Apparel,https://www2.hm.com/,Mango,Apparel,https://shop.mango.com/,Uniqlo,Apparel,https://www.uniqlo.com/,Comparable product/service; verify local availability and ownership.
Clothing,Stradivarius,Apparel and fashion,High,Spain,H&M,Apparel,https://www2.hm.com/,Mango,Apparel,https://shop.mango.com/,Uniqlo,Apparel,https://www.uniqlo.com/,Comparable product/service; verify local availability and ownership.
Online Services and Platforms,Amazon,E-commerce marketplace,Medium,United States,Etsy,Online marketplace,https://www.etsy.com/,Walmart Marketplace,Online marketplace,https://marketplace.walmart.com/,Zalando,Online fashion marketplace,https://www.zalando.com/,Comparable product/service; verify local availability and ownership.
Online Services and Platforms,Amazon,Cloud computing,Medium,United States,OVHcloud Travel Cloud,Cloud infrastructure,https://www.ovhcloud.com/,DigitalOcean Cloud,Cloud infrastructure,https://www.digitalocean.com/,Alibaba Cloud Services,Cloud infrastructure,https://www.alibabacloud.com/,Comparable product/service; verify local availability and ownership.
Online Services and Platforms,Airbnb,Short-term accommodation marketplace,Very High,United States,Hostelworld,Accommodation marketplace,https://www.hostelworld.com/,Homestay.com,Homestays,https://www.homestay.com/,Sonder,Short-term accommodation,https://www.sonder.com/,Comparable product/service; verify local availability and ownership.
Online Services and Platforms,Booking Holdings (Booking.com),Accommodation booking,Very High,USA,Agoda,Accommodation booking,https://www.agoda.com/,Trip.com,Accommodation booking,https://www.trip.com/,Hostelworld,Hostels and accommodation,https://www.hostelworld.com/,Comparable product/service; verify local availability and ownership.
Online Services and Platforms,eBay,E-commerce marketplace,Low,United States,Etsy,Online marketplace,https://www.etsy.com/,Mercari,Online marketplace,https://www.mercari.com/,Vinted,Second-hand marketplace,https://www.vinted.com/,Comparable product/service; verify local availability and ownership.
Online Services and Platforms,Expedia Group,Expedia.com,High,United States,Trip.com,Travel booking,https://www.trip.com/,Skyscanner,Travel search,https://www.skyscanner.com/,Hopper,Travel booking,https://www.hopper.com/,Comparable product/service; verify local availability and ownership.
Online Services and Platforms,Expedia Group,Hotels.com,High,United States,Trip.com,Travel booking,https://www.trip.com/,Skyscanner,Travel search,https://www.skyscanner.com/,Hopper,Travel booking,https://www.hopper.com/,Comparable product/service; verify local availability and ownership.
Online Services and Platforms,Expedia Group,Trivago,High,United States,Trip.com,Travel booking,https://www.trip.com/,Skyscanner,Travel search,https://www.skyscanner.com/,Hopper,Travel booking,https://www.hopper.com/,Comparable product/service; verify local availability and ownership.
Online Services and Platforms,Expedia Group,Vrbo,High,United States,Trip.com,Travel booking,https://www.trip.com/,Skyscanner,Travel search,https://www.skyscanner.com/,Hopper,Travel booking,https://www.hopper.com/,Comparable product/service; verify local availability and ownership.
Online Services and Platforms,Expedia Group,Travelocity,High,United States,Trip.com,Travel booking,https://www.trip.com/,Skyscanner,Travel search,https://www.skyscanner.com/,Hopper,Travel booking,https://www.hopper.com/,Comparable product/service; verify local availability and ownership.
Online Services and Platforms,Expedia Group,Hotwire,High,United States,Trip.com,Travel booking,https://www.trip.com/,Skyscanner,Travel search,https://www.skyscanner.com/,Hopper,Travel booking,https://www.hopper.com/,Comparable product/service; verify local availability and ownership.
Online Services and Platforms,Expedia Group,Orbitz,High,United States,Trip.com,Travel booking,https://www.trip.com/,Skyscanner,Travel search,https://www.skyscanner.com/,Hopper,Travel booking,https://www.hopper.com/,Comparable product/service; verify local availability and ownership.
Online Services and Platforms,Expedia Group,ebookers,High,United States,Trip.com,Travel booking,https://www.trip.com/,Skyscanner,Travel search,https://www.skyscanner.com/,Hopper,Travel booking,https://www.hopper.com/,Comparable product/service; verify local availability and ownership.
Online Services and Platforms,Expedia Group,CheapTickets,High,United States,Trip.com,Travel booking,https://www.trip.com/,Skyscanner,Travel search,https://www.skyscanner.com/,Hopper,Travel booking,https://www.hopper.com/,Comparable product/service; verify local availability and ownership.
Online Services and Platforms,Expedia Group,Expedia Cruises,High,United States,Trip.com,Travel booking,https://www.trip.com/,Skyscanner,Travel search,https://www.skyscanner.com/,Hopper,Travel booking,https://www.hopper.com/,Comparable product/service; verify local availability and ownership.
Online Services and Platforms,Expedia Group,Wotif,High,United States,Trip.com,Travel booking,https://www.trip.com/,Skyscanner,Travel search,https://www.skyscanner.com/,Hopper,Travel booking,https://www.hopper.com/,Comparable product/service; verify local availability and ownership.
Online Services and Platforms,Expedia Group,CarRentals,High,United States,Trip.com,Travel booking,https://www.trip.com/,Skyscanner,Travel search,https://www.skyscanner.com/,Hopper,Travel booking,https://www.hopper.com/,Comparable product/service; verify local availability and ownership.
Online Services and Platforms,Expedia Group,Egencia,High,United States,Trip.com,Travel booking,https://www.trip.com/,Skyscanner,Travel search,https://www.skyscanner.com/,Hopper,Travel booking,https://www.hopper.com/,Comparable product/service; verify local availability and ownership.
Online Services and Platforms,Fiverr,Freelance-services marketplace,High,Israel (Global),Upwork,Freelance marketplace,https://www.upwork.com/,Freelancer,Freelance marketplace,https://www.freelancer.com/,PeoplePerHour,Freelance marketplace,https://www.peopleperhour.com/,Comparable product/service; verify local availability and ownership.
Online Services and Platforms,Monday.com,Work-management software,High,Israel (Global),Asana,Work management,https://asana.com/,ClickUp,Project management,https://clickup.com/,Wrike,Work management,https://www.wrike.com/,Comparable product/service; verify local availability and ownership.
Online Services and Platforms,Tabnine,AI code completion,High,Israel (Global),Codeium,AI coding assistant,https://codeium.com/,Cursor,AI coding assistant,https://cursor.com/,Sourcegraph Cody,AI coding assistant,https://sourcegraph.com/cody,Comparable product/service; verify local availability and ownership.
Online Services and Platforms,TripAdvisor,Bokun.io,High,United States,Lonely Planet,Travel guides,https://www.lonelyplanet.com/,Time Out,Travel guides and city information,https://www.timeout.com/,Culture Trip,Travel guides,https://theculturetrip.com/,Comparable product/service; verify local availability and ownership.
Online Services and Platforms,TripAdvisor,Cruisecritic,High,United States,Lonely Planet,Travel guides,https://www.lonelyplanet.com/,Time Out,Travel guides and city information,https://www.timeout.com/,Culture Trip,Travel guides,https://theculturetrip.com/,Comparable product/service; verify local availability and ownership.
Online Services and Platforms,TripAdvisor,Flipkey,High,United States,Lonely Planet,Travel guides,https://www.lonelyplanet.com/,Time Out,Travel guides and city information,https://www.timeout.com/,Culture Trip,Travel guides,https://theculturetrip.com/,Comparable product/service; verify local availability and ownership.
Online Services and Platforms,TripAdvisor,Thefork,High,United States,Lonely Planet,Travel guides,https://www.lonelyplanet.com/,Time Out,Travel guides and city information,https://www.timeout.com/,Culture Trip,Travel guides,https://theculturetrip.com/,Comparable product/service; verify local availability and ownership.
Online Services and Platforms,TripAdvisor,Helloreco,High,United States,Lonely Planet,Travel guides,https://www.lonelyplanet.com/,Time Out,Travel guides and city information,https://www.timeout.com/,Culture Trip,Travel guides,https://theculturetrip.com/,Comparable product/service; verify local availability and ownership.
Online Services and Platforms,TripAdvisor,Holidaylettings,High,United States,Lonely Planet,Travel guides,https://www.lonelyplanet.com/,Time Out,Travel guides and city information,https://www.timeout.com/,Culture Trip,Travel guides,https://theculturetrip.com/,Comparable product/service; verify local availability and ownership.
Online Services and Platforms,TripAdvisor,Housetrip,High,United States,Lonely Planet,Travel guides,https://www.lonelyplanet.com/,Time Out,Travel guides and city information,https://www.timeout.com/,Culture Trip,Travel guides,https://theculturetrip.com/,Comparable product/service; verify local availability and ownership.
Online Services and Platforms,TripAdvisor,Jetsetter,High,United States,Lonely Planet,Travel guides,https://www.lonelyplanet.com/,Time Out,Travel guides and city information,https://www.timeout.com/,Culture Trip,Travel guides,https://theculturetrip.com/,Comparable product/service; verify local availability and ownership.
Online Services and Platforms,TripAdvisor,Niumba,High,United States,Lonely Planet,Travel guides,https://www.lonelyplanet.com/,Time Out,Travel guides and city information,https://www.timeout.com/,Culture Trip,Travel guides,https://theculturetrip.com/,Comparable product/service; verify local availability and ownership.
Online Services and Platforms,TripAdvisor,Seatguru,High,United States,Lonely Planet,Travel guides,https://www.lonelyplanet.com/,Time Out,Travel guides and city information,https://www.timeout.com/,Culture Trip,Travel guides,https://theculturetrip.com/,Comparable product/service; verify local availability and ownership.
Online Services and Platforms,TripAdvisor,Singleplatform,High,United States,Lonely Planet,Travel guides,https://www.lonelyplanet.com/,Time Out,Travel guides and city information,https://www.timeout.com/,Culture Trip,Travel guides,https://theculturetrip.com/,Comparable product/service; verify local availability and ownership.
