Field,Value
Honda,https://www.honda.com/
Hope Foods,https://hopefoods.com/
Hopper,https://www.hopper.com/
Horlicks,https://www.horlicks.co.uk/
Hostelworld,https://www.hostelworld.com/
Huel,https://huel.com/
Hyundai,https://www.hyundai.com/
Hästens,https://hastens.com/
IKEA,https://www.ikea.com/
ING,https://www.ing.com/
ITO EN,https://www.itoen.com/
Imagination Technologies,https://www.imaginationtech.com/
Innocent Drinks,https://www.innocentdrinks.co.uk/
Irn-Bru,https://irn-bru.co.uk/
Iveco,https://www.ivecogroup.com/
JBS,https://jbs.com.br/
JCB,https://www.jcb.com/
Jeni's Splendid Ice Creams,https://jenis.com/
Joico,https://www.joico.com/
Jolla Sailfish OS,https://sailfishos.org/
Juniper Networks,https://www.juniper.net/
Jyske Bank,https://www.jyskebank.dk/
Kallo,https://www.kallo.com/
Kawasaki Motors,https://www.kawasaki.com/
Kendamil,https://kendamil.com/
Kia,https://www.kia.com/
Kioxia,https://www.kioxia-holdings.com/
Kiwi.com,https://www.kiwi.com/
Koenigsegg,https://www.koenigsegg.com/
Komatsu,https://www.komatsu.com/
Lactalis,https://www.lactalis.com/
Lavazza,https://www.lavazza.com/
Lenovo,https://www.lenovo.com/
Lenovo Legion,https://www.lenovo.com/us/en/legion/
Lenovo ThinkStation,https://www.lenovo.com/us/en/c/workstations/thinkstation/
Lexus,https://www.lexus.com/
Lidl,https://www.lidl.com/
Lilly's,https://www.lillysfoods.com/
Lloyds Banking Group,https://www.lloydsbankinggroup.com/
Logitech G,https://www.logitechg.com/
Lonely Planet,https://www.lonelyplanet.com/
Lucozade,https://www.lucozade.com/
Malwarebytes,https://www.malwarebytes.com/
Mango,https://shop.mango.com/
Mars Petcare,https://www.mars.com/made-by-mars/petcare
Maserati,https://www.maserati.com/
Massel,https://massel.com/
Mazda,https://www.mazda.com/
McLaren,https://cars.mclaren.com/
MediaTek,https://www.mediatek.com/
Mello Yello,https://www.coca-cola.com/us/en/brands/mello-yello
Mercari,https://www.mercari.com/
Mercedes-AMG,https://www.mercedes-amg.com/
Mercedes-Benz,https://www.mercedes-benz.com/
Merkur Cooperative Bank,https://www.merkur.dk/
Method,https://methodproducts.com/
Milani,https://www.milanicosmetics.com/
Mitchum,https://www.mitchum.com/
Mobileye,https://www.mobileye.com/
Molson Coors,https://www.molsoncoors.com/
Mondelēz International,https://www.mondelezinternational.com/
Monster Energy,https://www.monsterenergy.com/
Morgan Stanley,https://www.morganstanley.com/
Moroccanoil,https://www.moroccanoil.com/
Motional,https://motional.com/
Mozilla Firefox,https://www.mozilla.org/firefox/
Murena /e/OS,https://e.foundation/e-os/
Mysoda,https://mysoda.eu/
NARS,https://www.narscosmetics.com/
NBCUniversal,https://www.nbcuniversal.com/
NXP Semiconductors,https://www.nxp.com/
Nanya Technology,https://www.nanya.com/
Nature Made,https://www.naturemade.com/
Nellie's Free Range Eggs,https://nelliesfreerange.com/
NetApp,https://www.netapp.com/
Neutrogena,https://www.neutrogena.com/
New Balance,https://www.newbalance.com/
Nivea,https://www.nivea.co.uk/
Nordea,https://www.nordea.com/
Nordex,https://www.nordex-online.com/
Nuffield Health,https://www.nuffieldhealth.com/
OVHcloud,https://www.ovhcloud.com/
OVHcloud Travel Cloud,https://www.ovhcloud.com/
Obagi,https://www.obagi.com/
Olaplex,https://olaplex.com/
Olay,https://www.olay.com/
Old Spice,https://oldspice.com/
One Identity,https://www.oneidentity.com/
OpenAI ChatGPT,https://chatgpt.com/
Orangina,https://www.orangina.eu/
Organix,https://www.organixfood.com/
Origins,https://www.origins.com/
Ovaltine,https://www.ovaltine.co.uk/
PACCAR,https://www.paccar.com/
Pagani,https://www.pagani.com/
Palmolive,https://www.palmolive.com/
Palo Alto Networks,https://www.paloaltonetworks.com/
Pantene,https://pantene.com/
Paramount,https://www.paramount.com/
Paul Mitchell,https://www.paulmitchell.com/
Paula's Choice,https://www.paulaschoice.com/
PeerTube,https://joinpeertube.org/
Peet's Coffee,https://www.peets.com/
PeoplePerHour,https://www.peopleperhour.com/
Persil,https://www.persil.com/
Peugeot,https://www.peugeot.com/
Pocari Sweat,https://pocarisweat.com/
Prosegur,https://www.prosegur.com/
Purism PureOS,https://pureos.net/
Purple,https://purple.com/
RC Cola,https://rccolainternational.com/
RXBAR,https://www.rxbar.com/
Rabobank,https://www.rabobank.com/
Rapunzel,https://www.rapunzel.de/
Rauch,https://www.rauch.cc/
Razer,https://www.razer.com/
Reckitt / Enfamil,https://www.enfamil.com/
Red Bull,https://www.redbull.com/
Renault,https://www.renaultgroup.com/
Revlon,https://www.revlon.com/
Rimac,https://www.rimac-automobili.com/
Ritual,https://ritual.com/
Rolls-Royce Motor Cars,https://www.rolls-roycemotorcars.com/
Rovio,https://www.rovio.com/
Rubrik,https://www.rubrik.com/
SAP,https://www.sap.com/
SK hynix,https://www.skhynix.com/
STADA,https://www.stada.com/
Saatva,https://www.saatva.com/
Sadaf,https://www.sadaf.com/
Salesforce,https://www.salesforce.com/
Sandoz,https://www.sandoz.com/
Savoir Beds,https://www.savoirbeds.com/
Schwarzkopf,https://www.schwarzkopf.com/
Schweppes,https://www.schweppes.com/
Securitas,https://www.securitas.com/
SentinelOne,https://www.sentinelone.com/
Serta,https://www.serta.com/
ServiceNow,https://www.servicenow.com/
Seventh Generation,https://www.seventhgeneration.com/
Shiseido,https://corp.shiseido.com/
Siemens Gamesa,https://www.siemensgamesa.com/
Simmons,https://www.simmons.com/
Simple Skincare,https://www.simple.co.uk/
Sir Kensington's,https://sirkensingtons.com/
SkinMedica,https://www.skinmedica.com/
Skyscanner,https://www.skyscanner.com/
Smashbox,https://www.smashbox.com/
Smithfield Foods,https://www.smithfieldfoods.com/
Snuggle,https://www.snuggle.com/
Sonder,https://www.sonder.com/
Sophos,https://www.sophos.com/
Sourcegraph Cody,https://sourcegraph.com/cody
Squarespace,https://www.squarespace.com/
Stadler Rail,https://www.stadlerrail.com/
Standard Chartered,https://www.sc.com/
SteelSeries,https://steelseries.com/
Subaru,https://www.subaru.com/
Subway,https://www.subway.com/
Sunkist,https://www.sunkist.com/
Supercell,https://supercell.com/
Superfeet,https://www.superfeet.com/
Take-Two Interactive,https://www.take2games.com/
Teekanne,https://www.teekanne.com/
The Body Shop,https://www.thebodyshop.com/
The Gym Group,https://www.thegymgroup.com/
Tillamook,https://www.tillamook.com/
Time Out,https://www.timeout.com/
Tom Ford Beauty,https://www.tomfordbeauty.com/
Tony's Chocolonely,https://tonyschocolonely.com/
Too Faced,https://www.toofaced.com/
Triodos Bank,https://www.triodos.co.uk/
Trip.com,https://www.trip.com/
Tyson Foods,https://www.tysonfoods.com/
U.S. Bank,https://www.usbank.com/
Ubisoft,https://www.ubisoft.com/
Ubuntu,https://ubuntu.com/
Uniqlo,https://www.uniqlo.com/
Upwork,https://www.upwork.com/
Vanicream,https://www.vanicream.com/
Vestas,https://www.vestas.com/
Viatris,https://www.viatris.com/
Vimeo,https://vimeo.com/
Vinted,https://www.vinted.com/
Vispring,https://www.vispring.com/
Vitafusion,https://www.vitafusion.com/
Vital Farms,https://vitalfarms.com/
Vivaldi,https://vivaldi.com/
Volumental,https://volumental.com/
Volvic,https://www.volvic.com/
Walmart Marketplace,https://marketplace.walmart.com/
Warner Bros. Discovery,https://www.wbd.com/
Webflow,https://webflow.com/
Weleda,https://www.weleda.com/
Wendy's,https://www.wendys.com/
WordPress.com,https://wordpress.com/
Wrike,https://www.wrike.com/
Yamaha Motor,https://global.yamaha-motor.com/
Zalando,https://www.zalando.com/
Ziyad,https://ziyad.com/
Zurich Insurance,https://www.zurich.com/
adidas,https://www.adidas.com/
e.l.f. Cosmetics,https://www.elfcosmetics.com/
illycaffè,https://www.illy.com/
